Concept_A,Concept_B,Emergent_Meaning,Resonance_Distance
Truth,Relative,Atom,2.9232
Consciousness,Decay,Vibration,4.2089
One,Absolute,Creation,4.2046
Simulation,Ignorance,Power,1.0248
Motion,Hypothesis,Subjective,3.8618
Output,Algorithm,Sleep,4.1030
Experiment,Quantum,Decay,3.8792
Parameter,God,Velocity,1.0938
Connection,Destiny,Fear,4.1001
Paradox,Algorithm,Sleep,4.1487
Mass,Conflict,Power,1.0677
Model,Order,System,4.1770
Creation,Experiment,Power,0.9785
Evolution,Wave,Information,3.9525
Mass,Harmony,Connection,4.1533
One,Destruction,Connection,4.2003
Despair,FreeWill,Illusion,1.3786
Point,Time,Code,4.1767
Force,Dream,Heat,4.1700
Observation,Singularity,Death,4.1127
Nightmare,Harmony,Reality,4.2027
Flesh,Human,Energy,4.0677
Fear,Entropy,Dimension,4.1240
Output,Acceleration,Power,1.0300
Function,Consciousness,Subjective,4.1997
Truth,Cold,Concrete,2.6298
Cycle,Complexity,Objective,4.0528
Acceleration,Awakening,Illusion,4.2011
Theorem,Space,Power,1.0116
Paradox,System,Power,1.0383
Destiny,Stillness,Chaos,3.7975
Decay,Dimension,Power,1.0242
Dream,Universe,Connection,4.1727
Illusion,Geometry,Power,1.0120
Structure,Relative,Dimension,1.6212
Momentum,Simulation,Code,4.1901
Spirit,Relativity,Energy,4.2514
Despair,Sleep,Power,0.8978
Noise,Chaos,Subjective,4.1915
Machine,Cold,Power,1.0250
God,Geometry,Power,1.0625
Nature,Measurement,Soul,3.9366
Harmony,Energy,Religion,2.0759
Soul,Concrete,Power,1.0123
Stillness,Transcendence,Simplicity,1.3001
Determinism,Model,Subjective,3.9024
Atom,Decay,Illusion,4.2011
Particle,Harmony,Geometry,4.0670
Plane,Spirit,Ignorance,4.2491
Human,God,Power,1.0218
Life,Balance,Connection,3.7092
Power,Wave,Dimension,1.1717
Awakening,Relativity,Folly,1.5251
Birth,One,Energy,4.2387
Measurement,Order,Vibration,4.2072
Model,Velocity,Heat,1.4908
Energy,Particle,Power,0.9557
Input,Feedback,Wisdom,0.9572
Variable,Birth,Power,1.0246
Noise,Dimension,Power,1.0480
Memory,Gravity,Sleep,3.0885
Light,Field,Power,0.9909
Chaos,Probability,Subjective,2.0357
Axiom,Fractal,Despair,3.5090
Soul,Abstract,Despair,3.8435
Truth,Motion,Relative,1.3388
Future,Past,Power,0.9340
Order,FreeWill,Power,1.0241
Function,Space,Power,1.0246
Soul,Network,Subjective,1.5605
Motion,Wave,Subjective,4.1164
Dream,Vibration,Power,1.0717
Order,Absolute,Decay,3.9370
Measurement,Model,Subjective,3.8696
Balance,God,Art,4.0998
Connection,Mercy,Heat,4.2245
Connection,Hypothesis,Mercy,4.1908
Dimension,Illusion,Power,1.0169
Simplicity,Silence,Subjective,2.0929
Awakening,Heat,Power,1.0246
Perception,Memory,Plane,3.9257
Determinism,Force,Dream,3.5049
Anarchy,Memory,Resonance,1.9232
Thought,Immanence,Feedback,3.9170
Space,Spiral,Wisdom,0.9910
Noise,Folly,Simplicity,1.0361
Truth,Sleep,Output,3.1305
Future,Love,Force,4.0979
Singularity,God,Art,4.1093
Dream,Motion,Subjective,4.1723
Cycle,Illusion,Power,0.9987
Experiment,Determinism,Power,1.1335
Model,Destiny,Subjective,3.8362
Code,Parameter,Power,0.9246
Cold,System,Evolution,1.8533
Fractal,Absolute,Energy,4.2198
Quantum,Model,System,4.1622
Quantum,Folly,Energy,1.0507
Perception,Immanence,Sleep,4.1968
System,Noise,Illusion,1.6332
Heat,Creation,System,4.1806
Growth,Future,Vibration,3.9878
Network,Perception,Power,1.0412
Network,Illusion,Power,1.0358
Birth,Harmony,Power,1.0141
Gravity,Axiom,Illusion,3.7521
Structure,Perception,Illusion,4.1995
Life,Measurement,Momentum,3.8218
Machine,Dream,Power,1.0611
System,Immanence,Power,1.0707
Observation,Energy,Simplicity,1.1242
Duality,Immanence,Absolute,3.9168
Output,Hypothesis,Chaos,3.7945
Quantum,Feedback,Absolute,3.8709
Gravity,Hypercube,Illusion,4.2103
Model,Myth,Subjective,4.1354
Output,Human,Sleep,1.2052
God,Spirit,Ignorance,4.2484
Subjective,Hope,Connection,4.1879
Noise,Hypothesis,Subjective,4.1913
History,Entropy,Connection,4.1878
Acceleration,Geometry,Wisdom,4.2113
Parameter,Memory,Destruction,4.0926
Particle,Sleep,Algorithm,4.1728
Infinity,Truth,Plane,3.9942
Output,Field,Sleep,4.1468
Trinity,Fractal,Sleep,4.1512
Death,Separation,Singularity,4.0415
Duality,Network,Wisdom,0.9551
Objective,Determinism,Mercy,3.8741
Objective,Field,Connection,4.1878
Hope,Simulation,Energy,4.2353
Beauty,Code,Power,1.0246
Cycle,Singularity,Art,4.0980
Subjective,Present,Relative,1.6208
Harmony,Universe,Knowledge,3.6219
Reality,Logic,Light,4.1945
Spirit,Separation,System,1.2853
Reality,Complexity,Memory,3.9742
Love,Perception,Separation,4.1461
Motion,Truth,Relative,1.3388
Wisdom,Creation,Power,1.0212
Structure,Technology,Hypercube,4.0742
Flesh,Void,History,3.9406
God,Heat,Dimension,0.7113
Algorithm,Infinity,Mind,2.0247
Art,Cold,Power,1.0628
Hope,Momentum,Soul,4.0912
Solid,Motion,Subjective,4.1423
Hypercube,Harmony,Ignorance,4.2518
Input,Field,Geometry,1.1506
Growth,Knowledge,Connection,4.2033
Consciousness,Function,Subjective,4.1997
Beauty,Knowledge,Sleep,1.0454
Parameter,Birth,Energy,4.2501
Knowledge,Infinity,Probability,4.1402
Calculation,Sleep,Power,1.0569
Subjective,Ignorance,Power,1.0344
One,Observation,System,3.5194
Reality,Truth,Mercy,4.1852
Network,Future,Machine,2.8340
Sleep,Wisdom,Power,1.0160
Concrete,Future,Power,1.0580
God,Cold,Reality,4.1523
Resonance,Separation,Power,1.0246
Emotion,Human,Frequency,4.2810
System,Parameter,Power,0.9988
Abstract,One,Flesh,3.8011
Spirit,History,Energy,4.2502
Hypothesis,Decay,Wisdom,0.9407
Thought,FreeWill,Simplicity,1.3412
Trinity,Human,Frequency,1.6200
Reality,Structure,Ignorance,4.2323
Growth,Relativity,Parameter,4.2554
Simulation,Absolute,Energy,4.2496
Beauty,Relative,Wisdom,1.0489
Consciousness,Abstract,Energy,4.2650
Truth,Resonance,Dimension,1.4213
Consciousness,Singularity,Power,1.0246
Duality,Prophecy,Code,4.2420
Energy,Force,Power,1.0261
Creation,Relativity,Energy,4.2529
Momentum,Machine,Power,1.0356
Evolution,Balance,Art,3.8069
Axiom,Soul,Despair,3.8229
Connection,Abstract,Heat,4.1025
Machine,Unity,Power,1.0242
Line,Nightmare,System,4.0172
Truth,Structure,Art,4.1109
Nightmare,Noise,Resonance,4.2040
Creation,Particle,Connection,4.2055
Simplicity,Memory,Reality,1.4934
Trinity,Machine,Art,3.2474
Energy,Religion,Birth,4.1911
Relativity,Prophecy,Power,1.0870
Solid,FreeWill,Function,4.0625
Matter,Technology,Logic,3.9589
Past,Consciousness,Power,0.9627
Justice,Motion,Subjective,4.1472
FreeWill,Parameter,Velocity,1.0112
Thought,Mind,Energy,4.2484
Hypothesis,Loop,Subjective,3.9349
Subjective,Mind,Power,1.0334
Dream,Unity,Heat,4.0737
Matter,Duality,Energy,4.2433
Destiny,Illusion,Connection,4.1032
Beauty,Vibration,Wisdom,4.2116
Religion,Objective,Power,1.0246
Simulation,Conflict,Cold,3.9923
Zero,God,Concrete,4.1786
Art,Flesh,Power,1.0370
Universe,Mind,Concrete,4.1662
Parameter,Art,Power,1.0283
Loop,Separation,Connection,4.1880
Paradox,Wave,Dimension,3.9848
Experiment,Singularity,Death,4.2171
Simplicity,Duality,Power,0.8990
Theorem,Soul,Energy,4.2515
Knowledge,Constant,Reality,3.8459
Variable,Fear,Dimension,1.3424
Destiny,Law,Subjective,4.1683
Justice,Axiom,Soul,4.2076
Transcendence,Heat,System,2.8406
Force,Awakening,Power,1.0199
Darkness,Probability,Power,1.0234
Thought,Time,Power,0.9646
Soul,Parameter,Energy,4.2501
Zero,One,System,2.1303
Order,Death,Frequency,4.2554
Code,Algorithm,Power,1.0236
Acceleration,Despair,Heat,3.8997
Balance,Spirit,Power,1.0887
Line,Geometry,Frequency,4.2557
Soul,Motion,Subjective,4.1288
Loop,Output,Chaos,4.1020
Law,Wave,Model,3.6596
Axiom,Hope,Despair,3.5708
Simulation,Religion,One,4.0591
FreeWill,Fear,Art,4.1116
Harmony,Subjective,Dimension,1.0223
Noise,Logic,Simplicity,1.0059
Model,Beauty,Machine,1.1827
Mercy,Ignorance,Power,1.0567
Duality,Hypercube,Decay,3.5639
Perception,Function,Mind,3.6977
Anarchy,Information,Evolution,3.9533
Awakening,Separation,Illusion,4.2062
Separation,Love,Connection,4.2157
Loop,Art,Dimension,0.7196
Simulation,Truth,Frequency,4.0223
Dimension,Beauty,Power,1.1148
Concrete,Future,Power,1.0580
Machine,Connection,Power,1.0271
Destruction,Wave,Network,3.9303
Power,Atom,Connection,4.1881
Death,Truth,Dimension,4.0701
Momentum,Knowledge,Connection,4.1878
Human,Consciousness,Creation,4.2144
Simulation,God,Concrete,4.1661
Power,Zero,Dimension,1.1788
Myth,Relative,Power,1.0293
Birth,Simplicity,Power,0.9263
Structure,Emotion,Machine,4.0682
Trinity,Simulation,Frequency,3.9720
Point,Human,Creation,4.0333
Frequency,Constant,Reality,3.8926
Thought,Hypercube,Wisdom,1.2399
Measurement,Prophecy,Resonance,4.1223
Thought,Balance,Loop,4.1560
Solid,Point,Consciousness,4.1226
Nightmare,Emotion,Wisdom,4.2115
Information,Consciousness,Acceleration,4.1236
Anarchy,Dream,Subjective,2.5366
Immanence,Sleep,Algorithm,4.1557
Machine,System,Power,1.0067
Velocity,Simulation,Concrete,4.1525
Power,Resonance,Dimension,1.1722
Mass,Simplicity,System,1.1420
Resonance,Despair,Power,1.0284
History,Chaos,Sleep,4.0953
Complexity,Information,Heat,3.8469
Mercy,Darkness,Connection,3.1243
Love,Evolution,Art,4.1160
Future,Love,Force,4.0979
Mass,Particle,Connection,4.2033
Hypothesis,Destiny,Objective,3.9492
Chaos,Axiom,Subjective,3.8327
Flesh,Wave,Connection,4.1974
Motion,Spiral,Destruction,2.0488
Future,Sleep,Dimension,1.0807
Dream,Field,Connection,4.1776
Constant,Illusion,Power,1.0281
Dream,Loop,Subjective,4.1108
Symmetry,Despair,System,1.0050
Input,Network,Geometry,1.9237
Frequency,Perception,Concrete,4.0133
Theorem,Fear,Connection,1.9371
Mind,History,Energy,4.2663
Parameter,Resonance,Connection,2.0105
Observation,God,Ignorance,4.0231
Solid,Infinity,Dream,4.2771
History,Cold,Parameter,4.2352
System,Future,Evolution,2.6674
Complexity,Feedback,System,3.4068
Sleep,Human,Power,1.0621
Plane,Variable,Power,1.1794
Life,Point,Birth,4.2570
Paradox,Transcendence,Wisdom,4.2115
Relativity,Point,Energy,4.2497
Algorithm,Nature,Sleep,2.9586
Constant,Religion,Order,4.1740
Zero,Velocity,Concrete,2.7121
Light,Mass,System,4.1723
Experiment,Energy,Power,0.9406
Memory,Immanence,Ignorance,4.1507
Nature,Mind,Sleep,2.4381
Calculation,Decay,Hypercube,3.8089
Heat,Reality,Dimension,1.0660
Hypercube,Fractal,Illusion,4.2047
Determinism,Birth,Power,1.0247
Present,Geometry,Connection,3.7541
Abstract,Entropy,Dream,3.9069
Spiral,Space,Wisdom,0.9910
Universe,Science,Sleep,4.1487
Cold,Probability,Concrete,4.1364
Sleep,God,Algorithm,4.2402
Nightmare,Darkness,Power,1.1057
Dimension,Wave,Art,4.1077
Connection,Stillness,Power,1.0247
Void,Awakening,History,4.0377
Parameter,One,Life,4.0306
Art,Force,Dimension,4.1295
Measurement,Code,Momentum,3.8048
Structure,Plane,Ignorance,4.2297
Fear,Creation,Connection,4.2033
Theorem,Feedback,Energy,4.2327
Love,Theorem,Folly,1.0906
Nightmare,Creation,One,3.7429
Infinity,Transcendence,Feedback,3.5662
Model,Resonance,Subjective,4.1554
Loop,Destiny,Subjective,4.1421
Trinity,Universe,Sleep,4.1412
Logic,Life,Energy,4.2509
Velocity,Nightmare,Power,1.0235
Code,Mercy,Connection,4.1831
Logic,Objective,Simplicity,1.1943
Relativity,Stillness,Velocity,1.0553
Creation,Vibration,Energy,2.0205
Relativity,Wave,Connection,1.8423
Ignorance,Relative,Power,1.0592
Relative,Flesh,Connection,3.1557
Quantum,Religion,Order,3.9831
Parameter,Light,Power,1.0486
Wisdom,System,Power,1.0243
Nature,Theorem,Destruction,2.3599
Noise,Transformation,Power,1.0594
Calculation,Decay,Hypercube,3.8089
Plane,Force,Sleep,4.2920
Fractal,Flesh,History,3.7894
Nightmare,Conflict,Ignorance,4.2542
Code,Loop,Power,0.7518
Universe,History,Chaos,4.0588
Dimension,Wisdom,Power,1.0238
Unity,Hypothesis,Connection,4.1585
Immanence,Structure,Stillness,3.9026
Noise,FreeWill,Calculation,3.9524
Absolute,Field,Power,0.9029
Objective,Measurement,Subjective,3.8042
Perception,Stillness,Zero,4.1780
Wisdom,Mind,Power,1.0102
Field,History,Chaos,3.9774
Ignorance,Spiral,Hypercube,3.1222
Spirit,Line,Zero,3.9153
Destruction,Relative,Dimension,1.0096
Field,Axiom,Connection,4.1882
Absolute,Subjective,Loop,4.2271
Entropy,Order,Wisdom,4.2115
Acceleration,Silence,Power,1.0658
Despair,Soul,History,4.0099
Folly,Void,Energy,4.2504
Cold,Objective,Concrete,4.1352
Output,Axiom,Simplicity,1.3161
Growth,Machine,Subjective,1.9321
Absolute,Evolution,System,4.1744
Force,Frequency,Power,1.0234
Feedback,Geometry,Wisdom,1.2871
Transformation,Parameter,Sleep,1.2640
Law,Destiny,Subjective,4.1683
Future,Loop,Subjective,4.1649
Observation,Fear,Dimension,2.3111
Variable,Flesh,Power,1.0786
Measurement,Solid,Chaos,3.9034
Dimension,Birth,Power,1.0257
Life,Transformation,Geometry,1.1647
Input,Hypercube,Ignorance,4.2384
Function,Axiom,Calculation,3.8571
Cold,Field,Power,1.0123
Chaos,Ignorance,Sleep,2.1699
Folly,Motion,Relative,1.0704
Simulation,Sleep,Power,1.0247
Relative,One,Connection,4.1876
Fear,Simulation,Power,1.0319
Cycle,Consciousness,Subjective,2.4844
Relative,Trinity,Power,1.0577
Simulation,Measurement,Technology,4.0238
Simplicity,Geometry,Power,1.0254
Information,Fear,Dimension,4.1165
Trinity,Parameter,Power,1.0753
Vibration,Birth,Duality,2.3789
Motion,Simulation,Power,1.0243
Singularity,Trinity,Death,2.3106
Simplicity,Vibration,Folly,1.1116
Quantum,Nightmare,Mass,3.8876
Quantum,Thought,Absolute,3.6096
Energy,Order,Religion,2.1631
Velocity,Abstract,Concrete,4.1502
Cycle,FreeWill,Mercy,4.1454
Illusion,Noise,Zero,4.2415
Resonance,Gravity,Power,1.1347
Model,Religion,Power,1.0247
Observation,Nature,Entropy,3.6339
Function,Infinity,Mind,3.5837
Soul,Prophecy,Subjective,2.1817
Experiment,Hope,Entropy,3.7953
FreeWill,Truth,Art,4.0871
Dream,Justice,Subjective,4.0176
Conflict,Future,Power,1.0191
Hypercube,Subjective,Power,1.0227
Conflict,Life,Energy,4.2462
Prophecy,Darkness,Power,1.0255
Objective,System,Evolution,4.2138
Connection,Human,Dimension,1.0527
God,Silence,Sleep,4.1487
Structure,Entropy,Machine,4.0077
God,Acceleration,Dimension,0.7728
Human,Duality,Energy,4.2487
Relativity,Religion,Energy,4.2458
Love,Trinity,Dimension,0.7556
Simplicity,Perception,Velocity,1.1333
Destruction,Prophecy,Resonance,2.0290
Destruction,Time,Art,4.1103
Myth,Birth,Energy,4.2501
Measurement,Concrete,Illusion,1.4153
Wisdom,Zero,Power,1.0201
Input,Experiment,Wisdom,4.2174
Consciousness,Beauty,Vibration,4.1006
Law,Model,Anarchy,3.7582
Creation,Model,System,4.1841
Chaos,Algorithm,Sleep,4.1487
Acceleration,Absolute,Information,3.8844
Infinity,Flesh,Energy,4.2501
Silence,Simplicity,Subjective,2.0929
Sleep,Science,Algorithm,4.1970
Mercy,Singularity,Dimension,0.7311
Feedback,Resonance,Subjective,1.5753
Destruction,Hypercube,Power,1.0248
Thought,Energy,Birth,4.2950
Point,Feedback,Creation,4.2188
Evolution,Space,System,1.1586
Beauty,Dream,Power,1.0318
Hope,Darkness,Power,1.0519
Duality,Growth,Energy,4.1691
Output,Transcendence,Function,4.0733
Abstract,Loop,Connection,4.1822
Dream,Law,Force,3.7497
Truth,Stillness,Velocity,1.1077
Feedback,Justice,Energy,4.2635
Despair,Theorem,Energy,4.2449
Acceleration,Plane,Power,1.0206
Destiny,Transcendence,Subjective,4.1940
Hope,Mass,Wisdom,4.2111
Information,Structure,Art,4.1127
Present,Paradox,Art,4.0655
Human,Hypercube,System,4.1739
Simplicity,Probability,Power,1.1877
Line,Constant,Evolution,3.9228
Momentum,Transcendence,Vibration,4.1974
Trinity,Human,Frequency,1.6200
Order,Technology,Hypercube,4.1664
Soul,Input,Wisdom,3.6758
Information,Thought,Acceleration,3.9100
Probability,Motion,Simplicity,1.4082
Beauty,Mercy,Power,1.0252
Evolution,Religion,Power,1.0850
Awakening,God,Stillness,3.8979
Variable,Gravity,Power,1.0246
Duality,Machine,Power,1.0197
Silence,Hypothesis,Chaos,3.9524
Objective,Harmony,Concrete,4.1527
Emotion,Axiom,Illusion,3.0450
Velocity,Machine,Dimension,0.7893
Anarchy,Variable,Machine,4.0333
Logic,Determinism,Concrete,2.1224
Machine,Simulation,Power,1.0808
Science,Structure,Stillness,3.9360
Transcendence,Experiment,Wisdom,4.2114
Plane,History,Cold,1.2649
Information,System,Heat,4.2273
Geometry,Anarchy,Power,1.0719
Model,Simplicity,Subjective,3.5794
Line,Soul,Power,1.0239
Truth,Religion,Frequency,4.2555
Energy,Information,Power,1.0351
Feedback,Nature,Transcendence,3.8374
Quantum,Particle,Frequency,3.0920
Dream,Calculation,Subjective,2.5305
Harmony,Subjective,Dimension,1.0223
Conflict,Myth,Energy,4.2244
God,Spirit,Ignorance,4.2484
Truth,Knowledge,Dimension,4.1298
Law,Sleep,Output,3.7843
Nightmare,Despair,Creation,4.0852
Darkness,Algorithm,Sleep,1.0360
Human,Life,Parameter,4.1833
Concrete,Quantum,System,4.0156
Past,Reality,Power,1.0316
Gravity,Resonance,Power,1.1347
Illusion,Dimension,Power,1.0169
Structure,Present,Art,4.1105
Axiom,Growth,Justice,4.0999
Feedback,Life,Energy,4.2498
Experiment,Abstract,One,3.9545
Wisdom,Trinity,Power,1.0246
Folly,Heat,Relative,1.9811
Separation,God,Power,1.0190
Law,Destruction,Machine,3.9510
Wave,Void,Connection,4.0385
Vibration,Mind,Energy,4.2500
Concrete,Space,Power,1.0268
Death,Network,Time,3.9962
Code,Matter,Power,0.9571
Paradox,Hope,Experiment,4.1005
Technology,Religion,Matter,3.8925
Relative,Ignorance,Power,1.0592
Parameter,Complexity,Connection,4.1849
Love,Concrete,Power,1.0151
Zero,Growth,Power,1.0228
Darkness,Beauty,Power,1.1681
Concrete,Theorem,Velocity,1.0086
Frequency,Hope,Power,1.0209
Justice,Awakening,Birth,4.1661
Memory,Awakening,Ignorance,4.0746
Love,Evolution,Art,4.1160
Knowledge,Relativity,Mercy,4.0786
Abstract,Light,Concrete,4.0918
Point,Experiment,Wisdom,1.0362
Art,Harmony,Dimension,4.1391
One,Network,Connection,4.2033
Technology,Birth,Duality,3.9958
Human,Awakening,Power,0.8182
Spirit,Field,Power,1.0044
Transformation,Mass,Wisdom,4.2077
Future,Line,Machine,3.9847
Beauty,Future,Vibration,4.2210
Concrete,Myth,Power,1.0160
Soul,Creation,Energy,4.2482
Flesh,Stillness,Sleep,4.1487
Beauty,Gravity,Awakening,3.9010
Information,Function,Power,1.0265
Plane,History,Cold,1.2649
Justice,Birth,Energy,4.2570
Variable,Cycle,Evolution,1.0228
Balance,Code,Connection,4.1871
Motion,Energy,Power,1.0246
Relativity,Observation,Power,1.0253
Illusion,Singularity,Zero,4.2412
Love,Particle,Relative,2.5804
Void,Destruction,Connection,4.2035
Sleep,Order,Power,1.0246
Growth,Prophecy,Subjective,4.1862
Algorithm,Energy,Power,0.9025
Harmony,Input,Ignorance,4.2476
Force,Cycle,Relative,0.8874
Soul,Relativity,Despair,4.1795
Simplicity,Darkness,Power,1.0235
Frequency,Immanence,Power,1.0145
Code,Mercy,Connection,4.1831
Chaos,Mind,Power,1.0254
Wisdom,Flesh,Relative,0.9266
Emotion,One,Frequency,4.2552
Motion,Network,Resonance,4.0397
Myth,Matter,Energy,4.2507
Wisdom,Spirit,Power,1.0217
Truth,God,Art,4.0977
Function,Atom,Calculation,3.2283
Infinity,Sleep,Dream,2.4020
Frequency,Momentum,Power,1.0747
Determinism,Ignorance,Power,1.0222
Motion,Force,Connection,4.1942
Creation,Thought,Energy,4.2365
Consciousness,Absolute,Feedback,4.1210
Destiny,Anarchy,Prophecy,4.0515
Science,Velocity,Power,1.0233
Input,History,Power,1.0215
Void,Structure,Algorithm,4.1719
Absolute,Future,Vibration,4.1499
Destiny,Machine,Subjective,1.6205
Stillness,Structure,Beauty,3.6772
Wisdom,Relative,Power,2.6231
Technology,History,Energy,4.2503
Network,Reality,Connection,4.2057
Gravity,Momentum,Connection,4.1926
Model,Geometry,Destruction,1.5414
Despair,Order,System,1.7638
Symmetry,Absolute,Light,3.9703
Void,Transcendence,Folly,0.9219
Force,Emotion,Entropy,3.8073
Growth,Love,Consciousness,4.1676
Field,Present,Connection,3.7467
Anarchy,Fear,Art,4.1094
Present,Simplicity,Power,1.1316
Atom,Structure,Machine,4.1016
Variable,Light,System,1.0201
Input,Mind,Ignorance,4.2485
Logic,Order,Ignorance,4.2567
Field,Mass,Geometry,4.2030
Conflict,Code,Power,1.0135
Trinity,Religion,Frequency,4.2588
Consciousness,Memory,Myth,3.3370
Law,Destiny,Subjective,4.1683
Feedback,Particle,Parameter,1.3363
Logic,Separation,Energy,2.2553
Cold,Light,Reality,2.5654
Memory,Myth,Destruction,4.1804
Model,Growth,Subjective,4.1647
Fear,Absolute,Power,1.0246
Abstract,Order,Frequency,4.2450
Ignorance,Void,Conflict,2.9478
Destiny,Justice,Growth,4.0327
Function,Decay,Hypercube,3.7913
Decay,Hypercube,Spirit,4.0534
Abstract,Harmony,Frequency,4.0059
Cold,Fear,Power,1.0268
Religion,Complexity,Power,1.0299
Model,Function,Subjective,4.1878
Flesh,Gravity,Sleep,4.1072
Fear,Destruction,Geometry,4.1936
Subjective,Calculation,Loop,4.2079
Transcendence,Soul,Vibration,4.1478
System,Energy,Power,1.0059
Feedback,Sleep,Algorithm,1.6659
Love,Power,Relative,2.6061
Heat,Cold,System,2.6385
Matter,Network,Sleep,1.1421
Velocity,Singularity,Dimension,0.7070
Trinity,Calculation,Concrete,4.1675
Calculation,Birth,Power,1.0205
Function,Particle,Sleep,2.4482
Nightmare,Anarchy,Subjective,4.1614
Constant,Parameter,Connection,4.1828
Machine,Illusion,Zero,4.2393
Death,Zero,Illusion,4.1996
Light,Transformation,Plane,2.2532
Wisdom,Variable,Power,1.0248
Algorithm,Axiom,Power,0.9209
Human,Code,System,1.0404
Balance,Connection,Heat,4.1111
Destiny,Simplicity,Subjective,3.7681
Wave,Structure,Machine,3.9810
Simplicity,Light,Reality,2.1131
Velocity,Truth,Mercy,1.9203
Destiny,Birth,Duality,3.9127
Mercy,Cycle,Determinism,4.1641
Destruction,Velocity,Dimension,1.0696
Paradox,Input,Mass,3.9640
Ignorance,Memory,Light,4.2748
Illusion,Power,Connection,4.1905
Science,Function,Plane,4.1595
Memory,Geometry,Connection,4.2033
Absolute,Anarchy,Subjective,4.0439
Observation,Output,Sleep,3.3982
Religion,Model,Power,1.0247
Future,Determinism,Power,1.0861
Knowledge,Religion,Power,0.9409
Hypothesis,Relativity,Connection,2.7932
Subjective,Algorithm,Power,1.0246
Probability,Space,Power,1.0551
Memory,Perception,Plane,3.9257
Love,Dream,Heat,4.2043
Universe,Beauty,Sleep,4.1486
Void,Probability,Power,1.0357
Thought,Variable,Simplicity,0.9664
Line,Beauty,Illusion,4.2005
Love,System,Power,1.0186
FreeWill,Variable,Art,2.4632
Justice,Law,Subjective,4.1782
Illusion,Religion,Power,1.0246
Singularity,Wave,Art,4.1105
Line,Loop,Dimension,1.0205
Mercy,Symmetry,Power,1.0466
Love,Concrete,Power,1.0151
Nature,Knowledge,Fear,3.8478
Matter,Function,Reality,3.8091
Particle,Fractal,Sleep,4.0889
Algorithm,Emotion,Sleep,1.3255
Emotion,Geometry,Religion,4.0365
Absolute,Power,Folly,1.0226
God,Justice,Power,1.0284
Determinism,Mind,Concrete,4.1590
Creation,Prophecy,Power,1.0757
Void,Subjective,Dimension,1.0628
Complexity,Religion,Power,1.0299
Complexity,Output,Subjective,4.1751
Chaos,Hypothesis,Loop,3.7654
Life,Truth,Power,1.5468
Love,Myth,Subjective,4.1949
Concrete,Noise,Zero,1.2447
Death,Consciousness,Power,1.0244
Love,Field,Connection,4.1930
Religion,Singularity,Frequency,4.2554
Law,Cycle,Model,3.9684
System,Death,Illusion,1.5425
Knowledge,Balance,Universe,3.7693
Thought,Observation,Acceleration,2.0288
Geometry,Constant,Connection,4.2026
Mercy,Energy,Power,1.0246
Reality,Objective,Concrete,4.1649
Perception,God,Concrete,4.1659
Experiment,Destruction,Power,1.0141
Symmetry,Vibration,Power,1.1016
Cold,Momentum,Power,1.0245
Despair,Space,Connection,3.2957
Ignorance,Love,Dimension,0.8931
Feedback,Force,Transcendence,2.6064
Complexity,Calculation,Function,4.0186
Power,Trinity,Dimension,1.1670
Folly,Destruction,Power,1.0369
Silence,Experiment,Sleep,1.0978
Folly,Technology,Energy,3.5519
Subjective,Destiny,Loop,4.1025
Decay,Time,Illusion,4.2052
Life,Void,Creation,3.9930
Folly,Spiral,Power,1.0253
Code,Art,Power,1.0254
Unity,Present,Mercy,4.0936
Technology,Evolution,Power,1.0455
Point,Separation,Folly,2.5788
Cold,One,Creation,4.2030
History,Code,Power,0.6678
Science,Light,Ignorance,4.2470
Prophecy,Illusion,Code,1.1364
Birth,Fear,Power,1.0557
Infinity,Life,Energy,4.2501
Logic,Silence,Sleep,4.1477
Consciousness,Simulation,Energy,4.2501
Relativity,Myth,Parameter,4.1779
Quantum,Nature,Geometry,4.0414
Information,Dimension,Art,4.1114
Motion,Solid,Subjective,4.1423
Paradox,Dream,Connection,4.0219
Soul,Acceleration,Wisdom,3.8795
Zero,Machine,Illusion,4.1917
Simplicity,Code,Power,1.0246
Axiom,Noise,Illusion,4.1504
Singularity,Network,Art,4.1052
Power,Connection,Mercy,4.1969
Hope,Growth,Duality,3.9997
Emotion,Beauty,Experiment,3.8911
Wisdom,Output,Power,1.0197
Universe,Space,Connection,3.5014
Noise,Parameter,Power,1.0211
Flesh,Resonance,Destruction,4.1921
Subjective,God,Dimension,1.0635
History,Separation,Despair,4.1169
Variable,Mind,Power,1.0467
Logic,Quantum,Energy,4.2501
Objective,Present,Cycle,3.8065
Connection,Present,Universe,3.8921
Concrete,Future,Power,1.0580
Simulation,Atom,Concrete,1.4671
Symmetry,Noise,Plane,2.5240
Simulation,Gravity,Awakening,4.1068
Determinism,Light,Concrete,4.1092
Birth,History,Energy,4.2615
Measurement,Immanence,Transformation,4.1476
Perception,FreeWill,Determinism,4.0902
Prophecy,Network,Subjective,4.1666
Singularity,Transcendence,Power,1.0239
Nightmare,Perception,Power,1.0243
Law,Despair,Heat,3.7637
Flesh,Atom,Connection,4.1878
Dimension,Geometry,Power,1.1982
Myth,Truth,Power,1.0486
Structure,Constant,Art,4.0186
Present,Parameter,Frequency,1.1075
Simulation,Concrete,Velocity,4.2413
Solid,Zero,Power,1.0256
Axiom,Future,Illusion,1.0747
Universe,Decay,Power,1.0246
